ap_uint<196>("0000000000000000000000000000000000000000000000000000000000000111110000000001111100000000111111100000001111111000000011111110000000111101000000000111110000000000000000000000000000000000000000000000", 2),
ap_uint<196>("0000000000000000000000000000000000000000000000000000000000000001100000000000110100000000111111100000001111111000000011111110000000111111100000001111111000000000000000000000000000000000000000000000", 2),
ap_uint<196>("0000000000000000000000000000000000000000000000000000000000001111110000000101111110000001111111100000011111011000000011111110000000111111000000000000000000000000000000000000000000000000000000000000", 2),
ap_uint<196>("0000000000000000000000000000000000000000000000000000000000001111000000000111111100000001101111100000011111111000000111111110000000111111100000000111111000000000000000000000000000000000000000000000", 2),
ap_uint<196>("0000000000000000000000000000000000000000000000001110000000001101110000000011111100000000111111100000001111111000000011111110000000111111100000000111110000000000000000000000000000000000000000000000", 2),
ap_uint<196>("0000000000000000000000000000000000000000000000001110000000000011111000000001111110000000111111100000001111111000000011111110000000111111100000000011111000000000000000000000000000000000000000000000", 2),
ap_uint<196>("0000000000000000000000000000000000000000000000000000000000001111110000000011111110000001111111100000011111111000000111111110000000111111100000000000000000000000000000000000000000000000000000000000", 2),
ap_uint<196>("0000000000000000000000000000000000000000000000001111100000000111111100000001111111000001011111110000010111111100000101111111000000111111100000000111111000000000000000000000000000000000000000000000", 2),
ap_uint<196>("0000000000000000000000000000000000000000000000011110000000001111111000000011111110000001111111100000011111111000000111111110000000111111000000000111110000000000000000000000000000000000000000000000", 2),
ap_uint<196>("0000000000000000000000000000000000000000000000011110000000011111111100000111111111000111111111111001011111111110010111111111100011111111111000011011111100000011111111000000000000000000000000000000", 2),
ap_uint<196>("0000000000000000000000000000000111111000000001111111100000011111111100000111111111000001111111110000011111111100000111111111000001111111110000011111111000000011111110000000000000000000000000000000", 2),
ap_uint<196>("0000000000000000000000000000000001111110000000111111110000011111111100000111111111000001111111110000011111111100000011111111000000111111110000000111110100000000111111000000000000000000000000000000", 2),
ap_uint<196>("0000000000000000000000000000000011110000000000111111100000011111111100001111111111000011111111110000111111111100001111111111000011111111010000101111111100000111111110000001111111100000000000000000", 2),
ap_uint<196>("0000000000000000000000000000000000000000000000111100000000011111111000001111111111000011111111110000111110111100001111111111000011111111110000111111011100000111111111000000000000000000000000000000", 2),
